"","cliente","fecha","pago","id_sucursal","hora"
"458",40,2018-09-01,0,5,14
"459",34,2018-07-11,0,5,11
"460",117,2018-01-05,0,5,11
"461",117,2017-08-13,0,5,10
"462",39,2018-09-11,0,5,12
"463",11,2018-11-12,0,5,14
"464",43,2017-12-02,0,5,11
"465",65,2017-10-23,0,5,14
"466",179,2017-11-02,0,5,10
"467",34,2018-10-16,0,5,11
"468",7,2018-09-20,0,5,14
"469",11,2018-02-01,0,5,14
"470",9,2018-07-17,0,5,14
"471",36,2018-01-21,0,5,15
"472",182,2018-04-15,1565.03,5,11
"473",27,2018-07-27,0,5,12
"474",12,2017-11-28,0,5,16
"475",71,2018-03-10,0,5,10
"476",66,2017-09-09,390.26,5,11
"477",37,2017-07-22,500,5,16
"478",2,2018-01-23,0,5,13
"479",71,2018-01-21,0,5,12
"480",37,2017-10-24,0,5,10
"481",44,2018-12-02,0,5,11
"482",131,2017-09-17,0,5,10
"483",98,2017-11-20,0,5,15
"484",98,2018-02-01,0,5,16
"485",183,2017-07-12,0,5,10
"486",11,2018-10-18,0,5,12
"487",138,2018-10-30,0,5,16
"488",1,2018-07-24,0,5,12
"489",184,2017-09-28,0,5,11
"490",34,2018-07-16,0,5,11
"491",12,2017-10-29,0,5,12
"492",141,2017-08-23,0,5,12
"493",39,2018-03-01,0,5,13
"494",90,2017-09-28,0,5,14
"495",37,2017-12-04,984.06,5,11
"496",151,2017-12-07,0,5,12
"497",186,2018-04-02,0,5,10
"498",21,2018-03-20,0,5,15
"499",53,2018-08-29,0,5,11
"500",90,2017-10-24,0,5,11
"501",86,2017-12-31,0,5,12
"502",97,2018-08-26,0,5,12
"503",18,2017-11-23,0,5,12
"504",3,2017-08-30,0,5,13
"505",63,2017-12-17,1200,5,13
"506",31,2018-12-03,0,5,16
"507",73,2017-10-09,200,5,15
"508",85,2018-11-23,0,5,12
"509",68,2018-04-27,500,5,13
"510",187,2018-12-24,0,5,13
"511",21,2018-02-14,0,5,13
"512",16,2018-01-11,0,5,11
"513",79,2017-11-16,0,5,13
"514",97,2018-09-07,0,5,13
"515",71,2018-03-10,0,5,11
"516",9,2018-02-25,0,5,13
"517",12,2018-08-27,0,5,14
"518",119,2018-07-26,0,5,11
"519",139,2018-08-13,0,5,16
"520",34,2018-04-16,0,5,12
"521",188,2018-09-19,0,5,14
"522",117,2018-10-27,0,5,10
"523",117,2017-11-18,0,5,11
"524",117,2018-10-20,0,5,12
"525",190,2018-05-30,0,5,14
"526",42,2018-07-02,0,5,13
"527",191,2017-09-19,0,5,11
"528",107,2017-11-10,0,5,11
"529",82,2017-09-20,0,5,14
"530",125,2018-11-21,200,5,12
"531",134,2018-08-21,0,5,16
"532",134,2018-12-11,0,5,12
"533",193,2018-10-27,0,5,12
"534",195,2018-04-03,500,5,10
"535",151,2017-11-11,0,5,11
"536",21,2018-02-14,0,5,12
"537",196,2018-11-02,0,5,13
"538",16,2018-02-13,0,5,10
"539",91,2018-04-04,0,5,12
"540",1,2018-08-25,0,5,17
"541",9,2018-01-25,0,5,13
"542",152,2018-04-27,0,5,12
"543",36,2018-06-07,0,5,12
"544",3,2017-09-10,0,5,13
"545",8,2018-08-27,0,5,10
"546",34,2018-11-05,0,5,16
"547",97,2018-08-11,0,5,16
"548",40,2018-07-25,0,5,13
"549",190,2018-05-15,0,5,16
"550",8,2017-12-21,0,5,15
"551",36,2018-06-12,0,5,13
"552",125,2018-11-06,0,5,10
"553",7,2018-08-05,0,5,13
"554",197,2018-09-06,0,5,12
"555",34,2018-04-13,0,5,10
"556",198,2018-04-04,722.48,5,10
"557",199,2017-07-20,0,5,12
"558",161,2018-11-11,0,5,13
"559",200,2017-10-14,750.48,5,15
"560",66,2017-08-21,0,5,10
"561",202,2017-11-10,0,5,11
"562",129,2017-12-21,0,5,13
"563",204,2018-06-05,232.9,5,12
"564",34,2018-11-28,0,5,14
"565",18,2017-09-14,0,5,11
"566",66,2017-07-22,0,5,13
"567",28,2018-01-03,0,5,10
"568",28,2018-01-30,0,5,14
"569",53,2018-07-24,0,5,14
"570",54,2017-11-30,0,5,13
"571",40,2017-08-29,0,5,13
"572",110,2018-03-23,0,5,15
"573",39,2018-11-08,0,5,13
"574",29,2018-07-12,0,5,11
"575",8,2018-06-30,0,5,10
"576",15,2018-11-30,0,5,14
"577",14,2017-07-26,0,5,14
"578",16,2018-04-02,0,5,11
"579",97,2018-11-21,0,5,13
"580",206,2018-11-16,0,5,11
"581",21,2018-08-08,0,5,14
"582",65,2017-09-24,0,5,13
"583",19,2017-11-20,310,5,12
"584",40,2018-02-02,0,5,14
"585",44,2017-12-04,0,5,11
"586",9,2018-09-12,0,5,16
"587",168,2018-05-23,0,5,13
"588",93,2018-05-12,0,5,12
"589",207,2017-09-21,360.12,5,16
"590",23,2018-04-05,0,5,10
"591",7,2018-12-10,0,5,16
"592",14,2017-08-03,250,5,13
"593",41,2018-03-19,0,5,12
"594",209,2017-07-30,0,5,12
"595",65,2017-09-14,0,5,13
"596",42,2018-07-06,0,5,16
"597",12,2017-12-06,0,5,15
"598",42,2018-10-07,0,5,16
"599",60,2017-09-21,0,5,12
"600",98,2017-07-22,0,5,15
"601",37,2017-11-13,500,5,11
"602",104,2017-10-25,0,5,11
"603",37,2017-11-20,500,5,11
"604",37,2017-08-03,799.23,5,11
"605",36,2017-12-19,0,5,16
"606",61,2018-06-11,137.48,5,13
"607",90,2017-07-27,0,5,13
"608",43,2017-10-25,0,5,10
"609",210,2018-05-07,0,5,12
"610",37,2017-11-27,500,5,11
"611",105,2017-12-15,0,5,14
"612",105,2017-12-07,0,5,12
"613",9,2018-06-18,0,5,12
"614",19,2017-10-07,0,5,11
"615",5,2018-08-08,0,5,16
"616",17,2018-07-04,0,5,16
"617",153,2017-12-29,0,5,13
"618",210,2018-06-12,0,5,15
"619",212,2018-05-27,0,5,13
"620",26,2018-08-08,0,5,14
"621",40,2017-07-13,0,5,13
"622",97,2018-09-25,0,5,15
"623",111,2017-10-20,0,5,15
"624",117,2018-08-31,0,5,10
"625",174,2018-02-04,0,5,13
"626",213,2017-08-30,0,5,13
"627",98,2018-11-30,0,5,16
"628",117,2017-08-31,0,5,11
"629",117,2017-12-22,0,5,13
"630",36,2017-12-13,0,5,16
"631",106,2017-08-01,0,5,15
"632",152,2018-04-04,300,5,11
"633",215,2018-01-28,0,5,14
"634",204,2018-05-22,500,5,12
"635",216,2018-10-28,0,5,15
"636",167,2018-10-07,0,5,13
"637",34,2018-11-27,0,5,14
"638",44,2018-11-30,0,5,11
"639",218,2017-11-28,0,5,10
"640",34,2018-07-26,0,5,15
"641",219,2017-09-21,0,5,13
"642",12,2018-03-04,0,5,16
"643",36,2018-06-06,0,5,12
"644",69,2017-09-21,0,5,10
"645",15,2018-04-20,0,5,12
"646",221,2018-01-11,0,5,12
"647",8,2018-08-19,0,5,13
"648",97,2018-08-08,0,5,12
"649",34,2018-06-14,0,5,10
"650",222,2017-10-27,0,5,10
"651",40,2018-03-17,0,5,16
"652",223,2018-12-20,0,5,16
"653",190,2018-04-06,0,5,15
"654",140,2018-11-16,0,5,11
"655",16,2017-11-17,0,5,14
"656",224,2018-01-24,0,5,11
"657",225,2018-03-02,0,5,11
"658",153,2017-12-17,0,5,11
"659",226,2018-01-09,0,5,16
"660",60,2018-02-02,0,5,12
"661",223,2018-11-16,0,5,10
"662",125,2018-10-15,0,5,12
"663",60,2018-05-15,0,5,11
"664",227,2018-04-02,0,5,10
"665",93,2018-02-27,0,5,14
"666",65,2017-10-31,0,5,16
"667",167,2018-10-25,0,5,13
"668",145,2017-10-05,0,5,15
"669",120,2018-01-02,0,5,15
"670",228,2017-07-28,0,5,15
"671",144,2018-06-02,0,5,11
"672",12,2018-07-27,0,5,15
"673",183,2017-09-24,0,5,14
"674",8,2018-09-17,0,5,10
"675",87,2018-09-12,0,5,15
"676",152,2018-05-26,0,5,10
"677",19,2017-12-31,0,5,15
"678",9,2018-04-06,0,5,13
"679",34,2018-08-25,0,5,11
"680",72,2018-04-12,0,5,16
"681",42,2018-06-11,0,5,14
"682",78,2017-07-25,0,5,14
"683",44,2017-12-01,0,5,11
"684",40,2018-01-31,0,5,16
"685",1,2018-05-24,0,5,10
"686",98,2018-09-20,0,5,13
"687",65,2017-11-18,0,5,14
"688",65,2017-09-19,0,5,16
"689",107,2017-08-31,0,5,10
"690",235,2018-02-17,0,5,15
"691",107,2018-11-12,0,5,12
"692",236,2017-10-05,0,5,13
"693",12,2018-11-27,0,5,11
"694",119,2018-12-02,0,5,12
"695",61,2018-06-07,0,5,16
"696",237,2018-04-20,777.8,5,12
"697",65,2017-11-23,0,5,13
"698",238,2017-09-07,200,5,14
"699",238,2017-08-03,0,5,13
"700",184,2017-09-30,276,5,11
"701",151,2017-12-20,0,5,12
"702",137,2018-08-14,0,5,15
"703",65,2017-11-11,0,5,11
"704",8,2018-06-06,0,5,11
"705",137,2018-04-25,0,5,15
"706",18,2018-02-27,0,5,12
"707",105,2017-12-02,0,5,14
"708",19,2017-10-09,537,5,15
"709",28,2017-11-24,0,5,12
"710",117,2018-12-16,0,5,14
"711",53,2018-12-13,0,5,11
"712",223,2018-12-21,0,5,10
"713",240,2018-10-30,0,5,13
"714",241,2018-11-23,0,5,11
"715",242,2018-03-01,0,5,10
"716",213,2018-04-04,0,5,11
"717",21,2018-07-31,0,5,13
"718",187,2018-12-23,0,5,15
"719",37,2017-11-02,0,5,11
"720",225,2018-03-09,0,5,16
"721",168,2018-01-02,0,5,11
"722",244,2018-03-23,0,5,13
